Nicknane,Birthday
great,1984-07-15
less,1989-11-25
honest,1991-04-17
brave,1987-01-01
nice,1992-09-09
hubertfu,1917-11-28
tarticar,1991-10-10
capricey,1999-11-01
mottkram,1999-11-02
toraqjun,1999-11-03
bankblac,1999-11-04
colliozo,1999-11-04
artosmon,1999-11-04
vikingss,1999-11-05
snake,1995-08-10
tail,1991-12-27
long,1999-07-14
peer1,1999-10-15
peer2,1999-11-02
peer3,1999-11-03
peer4,1999-11-04
peer5,1999-11-05
peer6,1999-11-06
peer7,1999-11-07
peer8,1999-11-08
peer9,1999-11-09
peer10,1999-11-10
peer11,1999-10-01
peer12,1999-10-02
